<SIL>	SIL
BIFURCATION(2)	B AY F ER K EY SH AH N
BIG	B IH G
BIGAMY	B AY G EY M IY
BIGGER	B IH G ER
BIGGEST	B IH G AH S T
BIGHT	B AY T
BIGNESS	B IH G N AH S
BIGOT	B IH G AH T
BIGOTED	B IH G AH T IH D
BIGOTRY	B IH G AH T R IY
BIJOUTERIE	B IH ZH UW T AH R IY
BILL	B IH L
BILL'S	B IH L Z
BILLET	B IH L AH T
BILLET(2)	B IH L IH T
BILLIARD	B IH L Y ER D
BILLIARDS	B IH L Y ER D Z
BILLINGSGATE	B IH L IH NG Z G EY T
BILLIONS	B IH L Y AH N Z
BILLIOUSNESS	B IH L IY AH S N AH S
BILLOW	B IH L OW
BILLOWS	B IH L OW Z
BILLS	B IH L Z
BILLY	B IH L IY
BILLY'S	B IH L IY Z
BIN	B IH N
BINCLEAVES	B IH N K L IY V Z
BIND	B AY N D
BINDERS	B AY N D ER Z
BINDING	B AY N D IH NG
BINDINGS	B AY N D IH NG Z
BINDS	B AY N D Z
BINGLEY	B IH NG G L IY
BINGLEY'S	B IH NG G L IY Z
BINNACLE	B AY N AE K AH L
BINNY	B IH N IY
BINOCULARS	B AH N AA K Y AH L ER Z
BINS	B IH N Z
BIOGRAPH	B AY AA G R AH F
BIOGRAPHER	B AY AA G R AH F ER
BIOGRAPHICAL	B AY AH G R AE F IH K AH L
BIOGRAPHY	B AY AA G R AH F IY
BIOLOGICAL	B AY AH L AA JH IH K AH L
BIOLOGIST	B AY AA L AH JH IH S T
BIPEDS	B AY P EH D Z
BIRCH	B ER CH
BIRCHES	B ER CH IH Z
BIRCHWOOD	B ER CH W UH D
BIRD	B ER D
BIRD'S	B ER D Z
BIRDIE	B ER D IY
BIRDS	B ER D Z
BIRMINGHAM	B ER M IH NG HH AE M
BIRTH	B ER TH
BIRTHDAY	B ER TH D EY
BIRTHNIGHT	B ER TH N AY T
BIRTHPLACE	B ER TH P L EY S
BIRTHRIGHT	B ER TH R AY T
BIRTHS	B ER TH S
BISBEE	B IH S B IY
BISCAY	B AY S EY IY
BISCUIT	B IH S K AH T
BISCUITS	B IH S K AH T S
BISECT	B AY S EH K T
BISECTED	B AY S EH K T IH D
BISHOP	B IH SH AH P
BISHOP'S	B IH SH AH P S
BISHOPS	B IH SH AH P S
BISMARCK'S	B IH Z M AA R K S
BISON	B AY S AH N
BISSING	B AY Z IH NG
BIT	B IH T
BITCH	B IH CH
BITCHES	B IH CH IH Z
BITE	B AY T
BITES	B AY T S
BITING	B AY T IH NG
BITS	B IH T S
BITTEN	B IH T AH N
BITTER	B IH T ER
BITTEREST	B IH T ER AH S T
BITTERLY	B IH T ER L IY
BITTERNESS	B IH T ER N AH S
BIVALVES	B AY V AE L V Z
BIVOUAC	B IH V W AE K
BIVOUACKING	B IH V AH W AE K IH NG
BIZARRE	B AH Z AA R
BIZARRE(2)	B IH Z AA R
BIZNESS	B IH Z N AH S
BJAALAND	B JH AA L AH N D
BLACK	B L AE K
BLACKBERRIES	B L AE K B EH R IY Z
BLACKBIRD	B L AE K B ER D
BLACKBIRDS	B L AE K B ER D Z
BLACKBOARD	B L AE K B AO R D
BLACKBURN	B L AE K B ER N
BLACKBURN'S	B L AE K B ER N Z
BLACKED	B L AE K T
BLACKEN	B L AE K AH N
BLACKENED	B L AE K AH N D
BLACKER	B L AE K ER
BLACKEST	B L AE K AH S T
BLACKGUARDS	B L AE K G AA R D Z
BLACKING	B L AE K IH NG
BLACKISH	B L AE K IH SH
BLACKMAIL	B L AE K M EY L
BLACKMAILERS	B L AE K M EY L ER Z
BLACKMAILING	B L AE K M EY L IH NG
BLACKNESS	B L AE K N AH S
BLACKS	B L AE K S
BLACKSMITH	B L AE K S M IH TH
BLACKSMITH'S	B L AE K S M IH TH S
BLACKSTONE	B L AE K S T OW N
BLACKTHORN	B L AE K TH AO R N
BLACKWOOD	B L AE K W UH D
BLACKWOOD'S	B L AE K W UH D Z
BLACKY	B L AE K IY
BLADDER	B L AE D ER
BLADE	B L EY D
BLADES	B L EY D Z
BLAINE	B L EY N
BLAIR	B L EH R
BLAIR'S	B L EH R Z
BLAKE	B L EY K
BLAKE'S	B L EY K S
BLAKENEY	B L EY K N IY
BLAME	B L EY M
BLAMED	B L EY M D
BLAMELESS	B L EY M L AH S
BLAMING	B L EY M IH NG
BLANC	B L AE NG K
BLANCH	B L AE N CH
BLANCHED	B L AE N CH T
BLAND	B L AE N D
BLAND'S	B L AE N D Z
BLANDEST	B L AE N D AH S T
BLANDISHMENTS	B L AE N D IH SH M AH N T S
BLANDLY	B L AE N D L IY
BLANK	B L AE NG K
BLANKENHEIM	B L AE NG K AH N HH IY M
BLANKET	B L AE NG K AH T
BLANKET(2)	B L AE NG K IH T
BLANKETS	B L AE NG K AH T S
BLANKLY	B L AE NG K L IY
BLANKNESS	B L AE NG K N AH S
BLANQUI	B L AE NG K W IY
BLASI	B L EY Z IY
BLASI'S	B L EY Z IY Z
BLASPHEMIES	B L AE S F AH M IY Z
BLASPHEMOUS	B L AE S F AH M AH S
BLASPHEMY	B L AE S F AH M IY
BLAST	B L AE S T
BLASTED	B L AE S T AH D
BLASTED(2)	B L AE S T IH D
BLASTING	B L AE S T IH NG
BLASTS	B L AE S T S
BLAUSSER	B L AO S AH R
BLAZE	B L EY Z
BLAZED	B L EY Z D
BLAZES	B L EY Z IH Z
BLAZING	B L EY Z IH NG
BLAZON	B L EY Z AH N
BLEAK	B L IY K
BLEAR	B L IH ER
BLEARY	B L IH R IY
BLEATING	B L IY T IH NG
BLEED	B L IY D
BLEEDING	B L IY D IH NG
BLEEDS	B L IY D Z
BLEMISH	B L EH M IH SH
BLEMISHES	B L EH M IH SH IH Z
BLENAN	B L IY N AH N
BLEND	B L EH N D
BLENDED	B L EH N D IH D
BLENDING	B L EH N D IH NG
BLENDINGS	B L EH N D IH NG Z
BLENHEIM	B L EH N HH AY M
BLENNIES	B L EH N AY Z
BLESKENIUS	B L EH S EH N AY AH S
BLESS	B L EH S
BLESSED	B L EH S T
BLESSEDNESS	B L EH S AH D N AH S
BLESSES	B L EH S IH Z
BLESSING	B L EH S IH NG
BLESSINGS	B L EH S IH NG Z
BLEST	B L EH S T
BLEU	B L UW
BLEW	B L UW
BLEWED	B L UW D
BLIGHT	B L AY T
BLIGHTED	B L AY T IH D
BLIND	B L AY N D
BLINDED	B L AY N D IH D
BLINDERS	B L AY N D ER Z
BLINDFOLD	B L AY N D F OW L D
BLINDFOLDED	B L AY N D F OW L D IH D
BLINDING	B L AY N D IH NG
BLINDLY	B L AY N D L IY
BLINDNESS	B L AY N D N AH S
BLINDS	B L AY N D Z
BLINK	B L IH NG K
BLINKED	B L IH NG K T
BLINKIN	B L IH NG K IH N
BLINKING	B L IH NG K IH NG
BLINKIT	B L IH NG K AH T
BLISS	B L IH S
BLISSFUL	B L IH S F AH L
BLISTER	B L IH S T ER
BLISTERED	B L IH S T ER D
BLISTERS	B L IH S T ER Z
BLITHE	B L AY DH
BLITHELY	B L AY TH L IY
BLIZZARD	B L IH Z ER D
BLOATED	B L OW T IH D
BLOB	B L AA B
BLOCK	B L AA K
BLOCKADE	B L AA K EY D
BLOCKED	B L AA K T
BLOCKHEAD	B L AA K HH EH D
BLOCKHEADS	B L AA K HH EH D Z
BLOCKING	B L AA K IH NG
BLOCKS	B L AA K S
BLOND	B L AA N D
BLONDE	B L AA N D
BLOOD	B L AH D
BLOODED	B L AH D IH D
BLOODHOUNDS	B L AH D HH AW N D Z
BLOODHOUNDS(2)	B L AH D HH AW N Z
BLOODLESS	B L AH D L AH S
BLOODSHED	B L AH D SH EH D
BLOODTHIRSTY	B L AH D TH ER S T IY
BLOODY	B L AH D IY
BLOOM	B L UW M
BLOOMED	B L UW M D
BLOOMER	B L UW M ER
BLOOMIEST	B L UW M IY AH S T
BLOOMIN	B L UW M IH N
BLOOMING	B L UW M IH NG
BLOOMLESS	B L UW M L AH S
BLOOMS	B L UW M Z
BLOSSOM	B L AA S AH M
BLOSSOMED	B L AA S AH M D
BLOSSOMING	B L AA S AH M IH NG
BLOSSOMS	B L AA S AH M Z
BLOT	B L AA T
BLOT'S	B L AA TS
BLOTCHES	B L AA T CH AH Z
BLOTCHY	B L AA T CH IY
BLOTS	B L AA T S
BLOTTED	B L AA T AH D
BLOTTING	B L AA T IH NG
BLOUNT	B L AW N T
BLOUSE	B L AW S
BLOUSES	B L AW S AH Z
BLOUSES(2)	B L AW S IH Z
BLOW	B L OW
BLOWIN	B L OW IH N
BLOWING	B L OW IH NG
BLOWN	B L OW N
BLOWS	B L OW Z
BLUBBER	B L AH B ER
BLUE	B L UW
BLUEBELLS	B L UW B EH L Z
BLUEBERRY	B L UW B EH R IY
BLUEBIRD	B L UW B ER D
BLUED	B L UW D
BLUENESS	B L UW N AH S
BLUEST	B L UW AH S T
BLUFF	B L AH F
BLUFFED	B L AH F T
BLUFFLY	B L AH F L IY
BLUFFS	B L AH F S
BLUISH	B L UW IH SH
BLUNDER	B L AH N D ER
BLUNDERBUSS	B L AH N D ER B AH S
BLUNDERBUSSES	B L AH N D ER B AH S IH Z
BLUNDERED	B L AH N D ER D
BLUNDERINGLY	B L AH N D ER IH NG L IY
BLUNDERS	B L AH N D ER Z
BLUNT	B L AH N T
BLUNT'S	B L AH N TS
BLUNTLY	B L AH N T L IY
BLUNTNESS	B L AH N T N AH S
BLUR	B L ER
BLURRED	B L ER D
BLURRING	B L ER IH NG
BLURTED	B L ER T IH D
BLUSH	B L AH SH
BLUSHED	B L AH SH T
BLUSHES	B L AH SH AH Z
BLUSHES(2)	B L AH SH IH Z
BLUSHING	B L AH SH IH NG
BLUSHINGLY	B L AH SH IH NG L IY
BLUSTER	B L AH S T ER
BLYTH	B L IH TH
BLYTHE	B L AY DH
BO	B OW
BOA	B OW AH
BOA'S	B OW AH Z
BOAR	B AO R
BOAR'S	B AO R Z
BOARD	B AO R D
BOARDED	B AO R D AH D
BOARDED(2)	B AO R D IH D
BOARDER	B AO R D ER
BOARDERS	B AO R D ER Z
BOARDING	B AO R D IH NG
BOARDING'S	B AO R D IH NG Z
BOARDS	B AO R D Z
BOARS	B OW R Z
BOAS	B OW AH Z
BOAST	B OW S T
BOASTED	B OW S T AH D
BOASTED(2)	B OW S T IH D
BOASTFUL	B OW S T F AH L
BOASTING	B OW S T IH NG
BOASTS	B OW S T S
BOAT	B OW T
BOAT'S	B OW T S
BOATING	B OW T IH NG
BOATMAN	B OW T M AH N
BOATMEN	B OW T M EH N
BOATS	B OW T S
BOATSWAIN	B OW T S W EY N
BOB	B AA B
BOB'S	B AA B Z
BOBBING	B AA B IH NG
BOBBINS	B AA B AH N Z
BOBBY	B AA B IY
BOBBY'S	B AA B IY Z
BOBO	B OW B OW
BOBO'S	B OW B OW Z
BOCHE	B AA CH
BOCHES	B AA CH IH Z
BODED	B OW D IH D
BODICE	B AA D IH S
BODIED	B AA D IY D
BODIES	B AA D IY Z
BODILY	B AA D AH L IY
BODKINS	B AA D K IH N Z
BODY	B AA D IY
BODY'S	B AA D IY Z
BODYGUARD	B AA D IY G AA R D
BOGGY	B AO G IY
BOGNOR	B AA G N AH R
BOGUCHAROVO	B AA G AH CH AE R AH V OW
BOHEMIA	B OW HH IY M IY AH
BOHEMIA'S	B OW HH IY M IY AH Z
BOHEMIAN	B OW HH IY M IY AH N
BOHEMIANS	B OW HH IY M IY AH N Z
BOHEMIENNE	B AA HH AH M IY N
BOHEMUS	B AA HH AH M AH S
BOIL	B OY L
BOILED	B OY L D
BOILER	B OY L ER
BOILERS	B OY L ER Z
BOILING	B OY L IH NG
BOISTEROUS	B OY S T ER AH S
BOISTEROUS(2)	B OY S T R AH S
BOLD	B OW L D
BOLDER	B OW L D ER
BOLDEST	B OW L D IH S T
BOLDLY	B OW L D L IY
BOLDNESS	B OW L D N AH S
BOLE	B OW L
BOLES	B OW L Z
BOLEYN	B OW L IH N
BOLEYN'S	B OW L IH N Z
BOLGIE	B OW L JH AY
BOLING	B OW L IH NG
BOLING'S	B OW L IH NG Z
BOLINGBROKE	B AA L AH N G R OW K
BOLKONSKI	B OW L K AA N S IY
BOLKONSKIS	B OW L K AA N S AH S
BOLSTER	B OW L S T ER
BOLT	B OW L T
BOLTED	B OW L T AH D
BOLTED(2)	B OW L T IH D
BOLTING	B OW L T IH NG
BOLTON	B OW L T AH N
BOLTS	B OW L T S
BOMBARDED	B AA M B AA R D IH D
BOMBAST	B AA M B AE S T
BOMBAZINE	B AA M B AH Z AY N
BOMBS	B AA M Z
BON	B AA N
BONACIEUX	B AA N EY S Y UW K S
BONAPARTE'S	B OW N AH P AA R T S
BONAPARTIST	B AA N AH P AA R T AH S T
BONBONS	B AA N B AH N Z
BOND	B AA N D
BONDAGE	B AA N D IH JH
BONDS	B AA N D Z
BONDSMAN	B AA N D Z M AE N
BONE	B OW N
BONES	B OW N Z
BONEYARD	B OW N Y AA R D
BONFIRE	B AA N F AY ER
BONFIRES	B AA N F AY ER Z
BONHAM	B AA N HH AH M
BONHOMME	B AA N HH AH M
BONIFACE	B AA N AH F AH S
BONNET	B AA N AH T
BONNETS	B AA N AH T S
BONNEY	B AA N IY
BONNIEST	B AA N IY AH S T
BONS	B AA N S
BONY	B OW N IY
BOOBIES	B UW B IY Z
BOODLE	B UW D AH L
BOOK	B UH K
BOOKCASE	B UH K K EY S
BOOKCASES	B UH K K EY S IH Z
BOOKER	B UH K ER
BOOKKEEPING	B UH K K IY P IH NG
BOOKLET	B UH K L IH T
BOOKS	B UH K S
BOOKSELLER	B UH K S EH L ER
BOOKSHELF	B UH K SH EH L F
BOOKSHELVES	B UH K SH EH L V Z
BOOKSTALL	B UH K S T AO L
BOOKSTORE	B UH K S T AO R
BOOM	B UW M
BOOMABLE	B UW M AH B AH L
BOOMED	B UW M D
BOOMERANG	B UW M ER AE NG
BOOMING	B UW M IH NG
BOON	B UW N
BOORISHNESS	B UH R IH SH N AH S
BOOST	B UW S T
BOOSTER	B UW S T ER
BOOSTERS	B UW S T ER Z
BOOSTING	B UW S T IH NG
BOOT	B UW T
BOOTERS	B UW T ER Z
BOOTH	B UW TH
BOOTMAKER'S	B UW T M EY K ER Z
BOOTS	B UW T S
BOOTY	B UW T IY
BORDEAUX	B AO R D OW
BORDER	B AO R D ER
BORDERED	B AO R D ER D
BORDERING	B AO R D ER IH NG
BORDERS	B AO R D ER Z
BORE	B AO R
BOREAS	B AH R IY Z
BORED	B AO R D
BORES	B AO R Z
BORG	B AO R G
BORGO	B IY ER G OW
BORING	B AO R IH NG
BORINGS	B AO R IH NG Z
BORN	B AO R N
BORNE	B AO R N
BORNEO	B AO R N IY OW
BORODINO	B AH R AA D AH N OW
BOROUGH	B ER OW
BORROW	B AA R OW
BORROWED	B AA R OW D
BORROWER	B AA R OW ER
BORROWING	B AA R OW IH NG
BORSIPPA	B AO R S IH P AH
BOSCASTLE	B AA S AH S AH L
BOSH	B AA SH
BOSOM	B UH Z AH M
BOSOMS	B UH Z AH M Z
BOSPHORUS	B AA S AH R AH S
BOSS	B AA S
BOSS(2)	B AO S
BOSSED	B AA S T
BOSSES	B AO S IH Z
BOSSUET	B AA S UW AH T
BOSSY	B AO S IY
BOSTICHI	B AA S T AH CH IY
BOSTON	B AA S T AH N
BOSTON'S	B AO S T AH N Z
BOSTON(2)	B AO S T AH N
BOSTONIAN	B AO S T OW N IY AH N
BOSTRA	B AA S T R AH
BOSUN	B AA S AH N
BOSWELL	B AA Z W EH L
BOSWORTH	B AO Z W ER TH
BOTANICAL	B AH T AE N IH K AH L
BOTANISTS	B AA T AH N IH S T S
BOTH	B OW TH
BOTHER	B AA DH ER
BOTHERED	B AA DH ER D
BOTHERING	B AA DH ER IH NG
BOTHERS	B AA DH ER Z
BOTTLE	B AA T AH L
BOTTLED	B AA T AH L D
BOTTLES	B AA T AH L Z
BOTTOM	B AA T AH M
BOTTOMED	B AA T AH M D
BOTTOMLESS	B AA T AH M L AH S
BOTTOMS	B AA T AH M Z
BOUCHAIN	B AW CH EY N
BOUDOIR	B UW D OY R
BOUDOIRS	B UW D W AA Z
BOUGH	B AW
BOUGHS	B AW Z
BOUGHT	B AA T
BOUGHT(2)	B AO T
BOUGHTEN	B AO T AH N
BOULDER	B OW L D ER
BOULDERS	B OW L D ER Z
BOULEVARD	B UH L AH V AA R D
BOULEVARDS	B UH L AH V AA R D Z
BOULTER	B OW L T ER
BOUNCE	B AW N S
BOUNCED	B AW N S T
BOUND	B AW N D
BOUNDARIES	B AW N D ER IY Z
BOUNDARIES(2)	B AW N D R IY Z
BOUNDARY	B AW N D ER IY
BOUNDARY(2)	B AW N D R IY
BOUNDED	B AW N D AH D
BOUNDED(2)	B AW N D IH D
BOUNDING	B AW N D IH NG
BOUNDLESS	B AW N D L AH S
BOUNDS	B AW N D Z
BOUNTIES	B AW N T IY Z
BOUNTIFUL	B AW N T IH F AH L
BOUNTIFUL(2)	B AW N IH F AH L
BOUNTY	B AW N T IY
BOUQUET	B UW K EY
BOUQUETS	B OW K EY Z
BOUQUETS(2)	B UW K EY Z
BOURBON	B ER B AH N
BOURBONS	B ER B AH N Z
BOURGEOIS	B UH R ZH W AA
BOURGEOISE	B AH R JH IY OY Z
BOURGEOISIE	B UH R ZH W AA Z IY
BOURGH	B AW R
BOURGOGNE	B AH R G AH N
BOURNEMOUTH	B AH R N AH M AW TH
BOUSER	B IY AH S ER
BOUT	B AW T
BOUTS	B AW T S
BOVILLE	B AA V AH L
BOVINA	B OW V IY N AH
BOVINELY	B OW V AY N L IY
BOW	B AW
BOW(2)	B OW
BOWED	B AW D
BOWED(2)	B OW D
BOWEL	B AW AH L
BOWELS	B AW AH L Z
BOWELS(2)	B AW L Z
BOWEN	B OW AH N
BOWER	B AW ER
BOWERY	B AW ER IY
BOWIE	B OW IY
BOWING	B OW IH NG
BOWING(2)	B AW IH NG
BOWL	B OW L
BOWLDERS	B OW L D AH R Z
BOWLED	B OW L D
BOWLING	B OW L IH NG
BOWLS	B OW L Z
BOWMAN	B OW M AH N
BOWNTANCE	B OW N T AH N S
BOWS	B AW Z
BOWS(2)	B OW Z
BOWSTRING	B AW S T R IH NG
BOX	B AA K S
BOXCLOTH	B AA K S K L AO TH
BOXED	B AA K S T
BOXER	B AA K S ER
BOXES	B AA K S AH Z
BOXES(2)	B AA K S IH Z
BOXING	B AA K S IH NG
BOXWOOD	B AA K S W UH D
BOY	B OY
BOY'S	B OY Z
BOYHOOD	B OY HH UH D
BOYHOOD'S	B OY HH UH D Z
BOYISH	B OY IH SH
BOYS	B OY Z
BRAC	B R AE K
BRACE	B R EY S
BRACELET	B R EY S L AH T
BRACELETS	B R EY S L IH T S
BRACER	B R EY S ER
BRACES	B R EY S AH Z
BRACES(2)	B R EY S IH Z
BRACING	B R EY S IH NG
BRACKEN	B R AE K AH N
BRACKET	B R AE K IH T
BRACKETS	B R AE K AH T S
BRACKETS(2)	B R AE K IH T S
BRADEMAGUS	B R AH D EH M AH JH AH S
BRADFORD	B R AE D F ER D
BRADLEY	B R AE D L IY
BRADSHAW	B R AE D SH AO
BRAG	B R AE G
BRAGGER	B R AE G ER
BRAGGING	B R AE G IH NG
BRAGS	B R AE G Z
BRAGTON	B R AE G T AH N
BRAID	B R EY D
BRAIDED	B R EY D IH D
BRAIDS	B R EY D Z
BRAIN	B R EY N
BRAINED	B R EY N D
BRAINIER	B R EY N IY ER
BRAINS	B R EY N Z
BRAITHWAITE	B R EY TH W EY T
BRAKE	B R EY K
BRAKES	B R EY K S
BRAMBLE	B R AE M B AH L
BRAMBLES	B R AE M B AH L Z
BRAN	B R AE N
BRANCH	B R AE N CH
BRANCHED	B R AE N CH T
BRANCHES	B R AE N CH AH Z
BRANCHES(2)	B R AE N CH IH Z
BRAND	B R AE N D
BRANDED	B R AE N D IH D
BRANDER	B R AE N D ER
BRANDILES	B R AE N D AH L Z
BRANDING	B R AE N D IH NG
BRANDISHED	B R AE N D IH SH T
BRANDISHING	B R AE N D IH SH IH NG
BRANDS	B R AE N D Z
BRANDT	B R AE N T
BRANDY	B R AE N D IY
BRANNAN	B R AE N AH N
BRANTOME'S	B R AE N T OW M Z
BRASHY	B R AE SH IY
BRASS	B R AE S
BRAT	B R AE T
BRAVADO	B R AH V AA D OW
BRAVE	B R EY V
BRAVELY	B R EY V L IY
BRAVER	B R EY V ER
BRAVERY	B R EY V ER IY
BRAVES	B R EY V Z
BRAVEST	B R EY V AH S T
BRAVO	B R AA V OW
BRAWL	B R AO L
BRAWLER	B R AO L ER
BRAWLING	B R AO L IH NG
BRAWN	B R AO N
BRAWNE	B R AO N
BRAWNY	B R AO N IY
BRAY	B R EY
BRAYED	B R EY D
BRAYS	B R EY Z
BRAZEN	B R EY Z AH N
BRAZIER	B R EY Z IY ER
BRAZIL	B R AH Z IH L
BRAZIL'S	B R AH Z IH L Z
BRAZILIAN	B R AH Z IH L Y AH N
BRE'KFUS	B R EH K AH S
BREACH	B R IY CH
BREACHES	B R IY CH IH Z
BREAD	B R EH D
BREAD'S	B R EH D Z
BREADS	B R EH D Z
BREADTH	B R EH D TH
BREAK	B R EY K
BREAKAGE	B R EY K IH JH
BREAKER	B R EY K ER
BREAKERS	B R EY K ER Z
BREAKFAST	B R EH K F AH S T
BREAKFASTED	B R EH K F AH S T IH D
BREAKFASTING	B R EH K F AH S T IH NG
BREAKIN	B R EY K IH N
BREAKING	B R EY K IH NG
BREAKNECK	B R EY K N EH K
BREAKS	B R EY K S
BREAKUP	B R EY K AH P
BREAKWATER	B R EY K W AO T ER
BREAST	B R EH S T
BREASTED	B R EH S T AH D
BREASTED(2)	B R EH S T IH D
BREASTPLATE	B R EH S T P L EY T
BREASTPLATES	B R EH S T P L EY T S
BREASTS	B R EH S T S
BREASTWORK	B R EH S T W ER K
BREASTWORKS	B R EH S T W ER K S
BREATH	B R EH TH
BREATHABLE	B R IY DH AH B AH L
BREATHE	B R IY DH
BREATHED	B R IY DH D
BREATHER	B R IY DH ER
BREATHES	B R IY DH Z
BREATHING	B R IY DH IH NG
BREATHINGS	B R IY DH IH NG Z
BREATHLESS	B R EH TH L AH S
BREATHLESSLY	B R EH TH L AH S L IY
BRED	B R EH D
BREECH	B R IY CH
BREECHES	B R IY CH IH Z
BREED	B R IY D
BREEDERS	B R IY D ER Z
BREEDING	B R IY D IH NG
BREEDS	B R IY D Z
BREEZE	B R IY Z
BREEZES	B R IY Z IH Z
BRENDA	B R EH N D AH
BRESCHIA	B R EH S IY AH
BREST	B R EH S T
BRETHREN	B R EH DH R AH N
BRETON	B R EH T AH N
BREVET	B R AH V EH T
BREVITY	B R EH V AH T IY
BREVOORT	B R EH V AH R T
BREWED	B R UW D
BREWERY	B R UW ER IY
BREWING	B R UW IH NG
BREWSTER	B R UW S T ER
BRIAR	B R AY ER
BRIARS	B R AY ER Z
BRIBE	B R AY B
BRIBED	B R AY B D
BRIBERY	B R AY B ER IY
BRIBES	B R AY B Z
BRIC	B R IH K
BRICK	B R IH K
BRICKED	B R IH K T
BRICKS	B R IH K S
BRICKWORK	B R IH K W ER K
BRIDAL	B R AY D AH L
BRIDE	B R AY D
BRIDE'S	B R AY D Z
BRIDEGROOM	B R AY D G R UW M
BRIDES	B R AY D Z
BRIDESMAIDS	B R AY D Z M EY D Z
BRIDGE	B R IH JH
BRIDGEPORT	B R IH JH P AO R T
BRIDGES	B R IH JH AH Z
BRIDGES(2)	B R IH JH IH Z
BRIDGET	B R IH JH AH T
BRIDGET(2)	B R IH JH IH T
BRIDLE	B R AY D AH L
BRIDLED	B R AY D AH L D
BRIDLES	B R AY D AH L Z
BRIDMAIN	B R IH D M EY N
BRIDMAIN'S	B R IH D M EY N Z
BRIEF	B R IY F
BRIEFITES	B R IY F AY T S
BRIEFLY	B R IY F L IY
BRIERS	B R IY R Z
BRIG	B R IH G
BRIG'S	B R IH G Z
BRIGADE	B R AH G EY D
BRIGADE(2)	B R IH G EY D
BRIGADED	B R IH G EY D IH D
BRIGADES	B R IH G EY D Z
BRIGADIER	B R IH G AH D IH R
BRIGANDAGE	B R AH G AE N D AH JH
BRIGANDS	B R IH G AH N D Z
BRIGANTINE	B R IH G AH N T IY N
BRIGGS	B R IH G Z
BRIGHAM	B R IH G AH M
BRIGHT	B R AY T
BRIGHTEN	B R AY T AH N
BRIGHTENED	B R AY T AH N D
BRIGHTENING	B R AY T AH N IH NG
BRIGHTENING(2)	B R AY T N IH NG
BRIGHTENS	B R AY T AH N Z
BRIGHTER	B R AY T ER
BRIGHTEST	B R AY T AH S T
BRIGHTLY	B R AY T L IY
BRIGHTNESS	B R AY T N AH S
BRIGHTON	B R AY T AH N
BRILLIANCE	B R IH L Y AH N S
BRILLIANCY	B R IH L Y AH N S IY
BRILLIANT	B R IH L Y AH N T
BRILLIANTLY	B R IH L Y AH N T L IY
BRIM	B R IH M
BRIMFUL	B R IH M F AH L
BRIMLEY	B R IH M L IY
BRIMMED	B R IH M D
BRIMMING	B R IH M IH NG
BRIMSTONE	B R IH M S T OW N
BRINDISI	B R IH N D AH S IY
BRING	B R IH NG
BRINGETH	B R IH NG IH TH
BRINGIN	B R IH NG IH N
BRINGING	B R IH NG IH NG
BRINGS	B R IH NG Z
BRINK	B R IH NG K
BRINZAS	B R IH N Z AH Z
BRISK	B R IH S K
BRISKLY	B R IH S K L IY
BRISTLE	B R IH S AH L
BRISTLED	B R IH S AH L D
BRISTLES	B R IH S AH L Z
BRISTLING	B R IH S AH L IH NG
BRISTLING(2)	B R IH S L IH NG
BRISTLY	B R IH S AH L IY
BRISTOL	B R IH S T AH L
BRITAIN	B R IH T AH N
BRITISH	B R IH T IH SH
BRITISHLY	B R AH T IH SH L IY
BRITON	B R IH T AH N
BRITON'S	B R IH T AH N Z
BRITONS	B R IH T AH N Z
BRITTANY	B R IH T AH N IY
BRITTLE	B R IH T AH L
BROACHED	B R OW CH T
BROAD	B R AO D
BROADBENT	B R AO D B EH N T
BROADCAST	B R AO D K AE S T
BROADCUT	B R AO D K AH T
BROADENING	B R AO D AH N IH NG
BROADENING(2)	B R AO D N IH NG
BROADER	B R AO D ER
BROADEST	B R AO D IH S T
BROADLY	B R AO D L IY
BROADSHEET	B R AO D SH IY T
BROADSHEETS	B R AO D SH IY T S
BROADSWORD	B R AO D S AO R D
BROADWAY	B R AO D W EY
BROADWAYS	B R AO D W EY Z
BROADWING	B R AO D W IH NG
BROBDIGNAGIANS	B R AA B D AH G N EY JH IY AH N Z
BROBDINGNAGIAN	B R AO B D IH G N AE G IY AH N
BROCHURE	B R OW SH UH R
BRODIE	B R OW T IY
BROECK	B R OW AH K
BROGUE	B R AA G
BROIL	B R OY L
BROILED	B R OY L D
BROILING	B R OY L IH NG
BROKE	B R OW K
BROKEN	B R OW K AH N
BROKER	B R OW K ER
BROKERS	B R OW K ER Z
BRONCHITIS	B R AA NG K AY T AH S
BRONCOS	B R AA NG K OW Z
BRONCS	B R AA NG K S
BRONSON	B R AA N S AH N
BRONTOSAURUS	B R AO N T AH S AO R AH S
BRONTOSAURUS(2)	B R AO N AH S AO R AH S
BRONZE	B R AA N Z
BRONZED	B R AA N Z D
BRONZY	B R AA N Z IY
BROOCH	B R UW CH
BROOCH(2)	B R OW CH
BROOCHES	B R UW CH AH Z
BROOD	B R UW D
BROODED	B R UW D IH D
BROODING	B R UW D IH NG
BROODINGLY	B R UW D IH NG L IY
BROODS	B R UW D Z
BROOK	B R UH K
BROOKLINE	B R UH K L AY N
BROOKLYN	B R UH K L AH N
BROOKLYN(2)	B R UH K L IH N
BROOKS	B R UH K S
BROOKSIDE	B R UH K S AY D
BROOM	B R UW M
BROOME	B R UW M
BROOMSTICK	B R UW M S T IH K
BROTH	B R AO TH
BROTHER	B R AH DH ER
