<SIL>	1.0     SIL
<SPN>	1.0     SPN
<UNK>	1.0     UNK
COMBEFERRE'S	1.0	K AA M B AH F EH R AH Z
COMBINATION	1.0	K AA M B AH N EY SH AH N
COMBINATIONS	1.0	K AA M B AH N EY SH AH N Z
COMBINE	1.0	K AA M B AY N
COMBINE(2)	1.0	K AH M B AY N
COMBINED	1.0	K AH M B AY N D
COMBINES	1.0	K AH M B AY N Z
COMBINING	1.0	K AH M B AY N IH NG
COMBS	1.0	K OW M Z
COME	1.0	K AH M
COMED	1.0	K AH M D
COMEDIES	1.0	K AA M AH D IY Z
COMEDY	1.0	K AA M AH D IY
COMELINESS	1.0	K AH M L IY N AH S
COMELY	1.0	K AH M L IY
COMER	1.0	K AH M ER
COMERS	1.0	K AH M ER Z
COMES	1.0	K AH M Z
COMEST	1.0	K AH M AH S T
COMET	1.0	K AA M AH T
COMETH	1.0	K AH M IH TH
COMETS	1.0	K AA M AH T S
COMFORT	1.0	K AH M F ER T
COMFORTABLE	1.0	K AH M F ER T AH B AH L
COMFORTABLY	1.0	K AH M F ER T AH B L IY
COMFORTED	1.0	K AH M F ER T IH D
COMFORTER	1.0	K AH M F ER T ER
COMFORTING	1.0	K AH M F ER T IH NG
COMFORTINGLY	1.0	K AH M F ER T IH NG L IY
COMFORTS	1.0	K AH M F ER T S
COMIC	1.0	K AA M IH K
COMICAL	1.0	K AA M IH K AH L
COMICALITY	1.0	K AA M IH K AH L AH T IY
COMICALLY	1.0	K AA M IH K AH L IY
COMICALLY(2)	1.0	K AA M IH K L IY
COMIN	1.0	K AH M IH N
COMING	1.0	K AH M IH NG
COMINGS	1.0	K AH M IH NG Z
COMMAND	1.0	K AH M AE N D
COMMANDANT	1.0	K AA M AH N D AA N T
COMMANDANTE	1.0	K AA M AE N D AH N T
COMMANDED	1.0	K AH M AE N D IH D
COMMANDER	1.0	K AH M AE N D ER
COMMANDERS	1.0	K AH M AE N D ER Z
COMMANDING	1.0	K AH M AE N D IH NG
COMMANDMENT	1.0	K AH M AE N D M AH N T
COMMANDMENTS	1.0	K AH M AE N D M AH N T S
COMMANDS	1.0	K AH M AE N D Z
COMMEDIA	1.0	K AA M IY D IY AH
COMMEMORATE	1.0	K AH M EH M ER EY T
COMMEMORATION	1.0	K AH M EH M ER EY SH AH N
COMMENCE	1.0	K AH M EH N S
COMMENCED	1.0	K AH M EH N S T
COMMENCEMENT	1.0	K AH M EH N S M AH N T
COMMENCES	1.0	K AH M EH N S AH Z
COMMENCING	1.0	K AH M EH N S IH NG
COMMEND	1.0	K AH M EH N D
COMMENDABLE	1.0	K AH M EH N D AH B AH L
COMMENDATION	1.0	K AA M AH N D EY SH AH N
COMMENDED	1.0	K AH M EH N D IH D
COMMENDING	1.0	K AH M EH N D IH NG
COMMENT	1.0	K AA M EH N T
COMMENTARY	1.0	K AA M AH N T EH R IY
COMMENTATOR	1.0	K AA M AH N T EY T ER
COMMENTATORS	1.0	K AA M AH N T EY T ER Z
COMMENTED	1.0	K AA M EH N T AH D
COMMENTING	1.0	K AA M EH N T IH NG
COMMENTS	1.0	K AA M EH N T S
COMMERCE	1.0	K AA M ER S
COMMERCIAL	1.0	K AH M ER SH AH L
COMMERCIALISM	1.0	K AH M ER SH AH L IH Z AH M
COMMERCIALLY	1.0	K AH M ER SH AH L IY
COMMINGLED	1.0	K AA M IH NG G AH L D
COMMINGLED(2)	1.0	K OW M IH NG G AH L D
COMMINGLING	1.0	K AA M IH NG G AH L IH NG
COMMINGLING(2)	1.0	K OW M IH NG G L IH NG
COMMISERATION	1.0	K AH M IH Z ER EY SH AH N
COMMISSION	1.0	K AH M IH SH AH N
COMMISSIONED	1.0	K AH M IH SH AH N D
COMMISSIONER	1.0	K AH M IH SH AH N ER
COMMISSIONER'S	1.0	K AH M IH SH AH N ER Z
COMMISSIONERS	1.0	K AH M IH SH AH N ER Z
COMMISSIONS	1.0	K AH M IH SH AH N Z
COMMIT	1.0	K AH M IH T
COMMITMENT	1.0	K AH M IH T M AH N T
COMMITS	1.0	K AH M IH T S
COMMITTED	1.0	K AH M IH T IH D
COMMITTEE	1.0	K AH M IH T IY
COMMITTEE'S	1.0	K AH M IH T IY Z
COMMITTEEMEN	1.0	K AH M IH T IY M EH N
COMMITTEES	1.0	K AH M IH T IY Z
COMMITTING	1.0	K AH M IH T IH NG
COMMODE	1.0	K AH M OW D
COMMODIOUS	1.0	K AH M OW D IY AH S
COMMODITIES	1.0	K AH M AA D AH T IY Z
COMMODITY	1.0	K AH M AA D AH T IY
COMMODORE	1.0	K AA M AH D AO R
COMMON	1.0	K AA M AH N
COMMONALTY	1.0	K AA M AH N AE L T IY
COMMONER	1.0	K AA M AH N ER
COMMONERS	1.0	K AA M AH N ER Z
COMMONEST	1.0	K AA M AH N AH S T
COMMONLY	1.0	K AA M AH N L IY
COMMONPLACE	1.0	K AA M AH N P L EY S
COMMONPLACES	1.0	K AA M AH N P L EY S IH Z
COMMONS	1.0	K AA M AH N Z
COMMONSENSE	1.0	K AA M AH N S EH N S
COMMONWEALTH	1.0	K AA M AH N W EH L TH
COMMONWEALTHS	1.0	K AA M AH N W EH L TH S
COMMOTION	1.0	K AH M OW SH AH N
COMMOTIONS	1.0	K AH M OW SH AH N Z
COMMUNE	1.0	K AA M Y UW N
COMMUNE(2)	1.0	K AH M Y UW N
COMMUNICABLE	1.0	K AH M Y UW N AH K AH B AH L
COMMUNICATE	1.0	K AH M Y UW N AH K EY T
COMMUNICATED	1.0	K AH M Y UW N AH K EY T IH D
COMMUNICATES	1.0	K AH M Y UW N IH K EY T S
COMMUNICATING	1.0	K AH M Y UW N AH K EY T IH NG
COMMUNICATION	1.0	K AH M Y UW N AH K EY SH AH N
COMMUNICATIONS	1.0	K AH M Y UW N AH K EY SH AH N Z
COMMUNICATIVE	1.0	K AH M Y UW N AH K AH T IH V
COMMUNION	1.0	K AH M Y UW N Y AH N
COMMUNIS	1.0	K AH M Y UW N IY Z
COMMUNISM	1.0	K AA M Y AH N IH Z AH M
COMMUNISTS	1.0	K AA M Y AH N AH S T S
COMMUNITIES	1.0	K AH M Y UW N AH T IY Z
COMMUNITIES(2)	1.0	K AH M Y UW N IH T IY Z
COMMUNITY	1.0	K AH M Y UW N AH T IY
COMMUNITY(2)	1.0	K AH M Y UW N IH T IY
COMO	1.0	K OW M OW
COMPACT	1.0	K AA M P AE K T
COMPACT(2)	1.0	K AH M P AE K T
COMPANIES	1.0	K AH M P AH N IY Z
COMPANION	1.0	K AH M P AE N Y AH N
COMPANION'S	1.0	K AH M P AE N Y AH N Z
COMPANIONABLE	1.0	K AH M P AE N Y AH N AH B AH L
COMPANIONABLY	1.0	K AH M P AE N Y AH N AH B L IY
COMPANIONS	1.0	K AH M P AE N Y AH N Z
COMPANIONSHIP	1.0	K AH M P AE N Y AH N SH IH P
COMPANIONWAYS	1.0	K AH M P AE N Y AH N W EY Z
COMPANY	1.0	K AH M P AH N IY
COMPANY'S	1.0	K AH M P AH N IY Z
COMPARABLE	1.0	K AA M P R AH B AH L
COMPARABLE(2)	1.0	K AH M P AE R AH B AH L
COMPARATIVE	1.0	K AH M P AE R AH T IH V
COMPARATIVELY	1.0	K AH M P AE R AH T IH V L IY
COMPARE	1.0	K AH M P EH R
COMPARED	1.0	K AH M P EH R D
COMPARES	1.0	K AH M P EH R Z
COMPARING	1.0	K AH M P EH R IH NG
COMPARISON	1.0	K AH M P EH R AH S AH N
COMPARTMENT	1.0	K AH M P AA R T M AH N T
COMPARTMENTS	1.0	K AH M P AA R T M AH N T S
COMPASS	1.0	K AH M P AH S
COMPASSED	1.0	K AH M P AH S T
COMPASSES	1.0	K AH M P AH S IH Z
COMPASSION	1.0	K AH M P AE SH AH N
COMPASSIONATE	1.0	K AH M P AE SH AH N AH T
COMPASSIONATELY	1.0	K AH M P AE SH AH N AH T L IY
COMPATIBLE	1.0	K AH M P AE T AH B AH L
COMPATRIOTS	1.0	K AH M P EY T R IY AH T S
COMPEERS	1.0	K AH M P IH ER Z
COMPEL	1.0	K AH M P EH L
COMPELLED	1.0	K AH M P EH L D
COMPELLING	1.0	K AH M P EH L IH NG
COMPELS	1.0	K AH M P EH L Z
COMPENSATE	1.0	K AA M P AH N S EY T
COMPENSATING	1.0	K AA M P AH N S EY T IH NG
COMPENSATION	1.0	K AA M P AH N S EY SH AH N
COMPENSATIONS	1.0	K AA M P AH N S EY SH AH N Z
COMPENSE	1.0	K AA M P EH N S
COMPETE	1.0	K AH M P IY T
COMPETENCE	1.0	K AA M P AH T IH N S
COMPETENT	1.0	K AA M P AH T IH N T
COMPETING	1.0	K AH M P IY T IH NG
COMPETITION	1.0	K AA M P AH T IH SH AH N
COMPETITIVE	1.0	K AH M P EH T AH T IH V
COMPETITIVE(2)	1.0	K AH M P EH T IH T IH V
COMPETITOR	1.0	K AH M P EH T AH T ER
COMPETITOR(2)	1.0	K AH M P EH T IH T ER
COMPETITORS	1.0	K AH M P EH T AH T ER Z
COMPETITORS(2)	1.0	K AH M P EH T IH T ER Z
COMPIEGNE	1.0	K AA M P IY N
COMPILED	1.0	K AH M P AY L D
COMPILER	1.0	K AH M P AY L ER
COMPLACENCY	1.0	K AH M P L EY S AH N S IY
COMPLACENT	1.0	K AH M P L EY S AH N T
COMPLACENTLY	1.0	K AH M P L EY S AH N T L IY
COMPLAIN	1.0	K AH M P L EY N
COMPLAINED	1.0	K AH M P L EY N D
COMPLAINING	1.0	K AH M P L EY N IH NG
COMPLAININGS	1.0	K AH M P L EY N IH NG Z
COMPLAINS	1.0	K AH M P L EY N Z
COMPLAINT	1.0	K AH M P L EY N T
COMPLAINTS	1.0	K AH M P L EY N T S
COMPLAISANCE	1.0	K AH M P L EY S AH N S
COMPLAISANTLY	1.0	K AH M P L EY S AH N T L IY
COMPLEAT	1.0	K AH M P L IY T
COMPLEATLY	1.0	K AH M P L IY T L IY
COMPLEMENT	1.0	K AA M P L AH M AH N T
COMPLEMENTED	1.0	K AA M P L AH M EH N T IH D
COMPLEMENTING	1.0	K AA M P L AH M EH N T IH NG
COMPLEMENTS	1.0	K AA M P L AH M AH N T S
COMPLETE	1.0	K AH M P L IY T
COMPLETED	1.0	K AH M P L IY T AH D
COMPLETED(2)	1.0	K AH M P L IY T IH D
COMPLETELY	1.0	K AH M P L IY T L IY
COMPLETENESS	1.0	K AH M P L IY T N AH S
COMPLETER	1.0	K AH M P L IY T ER
COMPLETES	1.0	K AH M P L IY T S
COMPLETEST	1.0	K AH M P L IY T AH S T
COMPLETING	1.0	K AH M P L IY T IH NG
COMPLETION	1.0	K AH M P L IY SH AH N
COMPLEX	1.0	K AA M P L EH K S
COMPLEX(2)	1.0	K AH M P L EH K S
COMPLEXION	1.0	K AH M P L EH K SH AH N
COMPLEXITY	1.0	K AH M P L EH K S AH T IY
COMPLEXITY(2)	1.0	K AH M P L EH K S IH T IY
COMPLEXLY	1.0	K AH M P L EH K S L IY
COMPLIANCE	1.0	K AH M P L AY AH N S
COMPLIANT	1.0	K AH M P L AY AH N T
COMPLICATED	1.0	K AA M P L AH K EY T AH D
COMPLICATION	1.0	K AA M P L AH K EY SH AH N
COMPLICATIONS	1.0	K AA M P L AH K EY SH AH N Z
COMPLICITY	1.0	K AH M P L IH S AH T IY
COMPLICITY(2)	1.0	K AH M P L IH S IH T IY
COMPLIED	1.0	K AH M P L AY D
COMPLIMENT	1.0	K AA M P L AH M EH N T
COMPLIMENTARY	1.0	K AA M P L AH M EH N T ER IY
COMPLIMENTED	1.0	K AA M P L AH M EH N T IH D
COMPLIMENTS	1.0	K AA M P L AH M EH N T S
COMPLY	1.0	K AH M P L AY
COMPLYING	1.0	K AH M P L AY IH NG
COMPONENT	1.0	K AH M P OW N AH N T
COMPONENTS	1.0	K AH M P OW N AH N T S
COMPORTS	1.0	K AH M P OW R T S
COMPOSE	1.0	K AH M P OW Z
COMPOSED	1.0	K AH M P OW Z D
COMPOSEDLY	1.0	K AH M P OW Z AH D L IY
COMPOSING	1.0	K AH M P OW Z IH NG
COMPOSITAE	1.0	K AA M P AA S AH T IY
COMPOSITE	1.0	K AH M P AA Z AH T
COMPOSITE(2)	1.0	K AA M P AA Z AH T
COMPOSITION	1.0	K AA M P AH Z IH SH AH N
COMPOSITIONS	1.0	K AA M P AH Z IH SH AH N Z
COMPOSITORS	1.0	K AH M P AA Z AH T ER Z
COMPOSURE	1.0	K AH M P OW ZH ER
COMPOUND	1.0	K AA M P AW N D
COMPOUND(2)	1.0	K AH M P AW N D
COMPOUNDED	1.0	K AH M P AW N D AH D
COMPOUNDED(2)	1.0	K AH M P AW N D IH D
COMPOUNDS	1.0	K AA M P AW N D Z
COMPOUNDS(2)	1.0	K AH M P AW N D Z
COMPRACHICOS	1.0	K AA M P R AE CH AH K AH Z
COMPREHEND	1.0	K AA M P R IY HH EH N D
COMPREHENDED	1.0	K AA M P R IH HH EH N D IH D
COMPREHENDING	1.0	K AA M P R IH HH EH N D IH NG
COMPREHENDS	1.0	K AA M P R IY HH EH N D Z
COMPREHENSIBLE	1.0	K AA M P R IY HH EH N S AH B AH L
COMPREHENSION	1.0	K AA M P R IY HH EH N SH AH N
COMPREHENSIVE	1.0	K AA M P R IY HH EH N S IH V
COMPRESS	1.0	K AA M P R EH S
COMPRESS(2)	1.0	K AH M P R EH S
COMPRESSED	1.0	K AH M P R EH S T
COMPRESSES	1.0	K AA M P R EH S AH Z
COMPRESSES(2)	1.0	K AH M P R EH S AH Z
COMPRESSES(3)	1.0	K AH M P R EH S IH Z
COMPRESSING	1.0	K AH M P R EH S IH NG
COMPRESSION	1.0	K AH M P R EH SH AH N
COMPRESSIONS	1.0	K AH M P R EH SH AH N Z
COMPRISED	1.0	K AH M P R AY Z D
COMPRISING	1.0	K AH M P R AY Z IH NG
COMPROMISE	1.0	K AA M P R AH M AY Z
COMPROMISED	1.0	K AA M P R AH M AY Z D
COMPROMISES	1.0	K AA M P R AH M AY Z IH Z
COMPROMISING	1.0	K AA M P R AH M AY Z IH NG
COMPULSION	1.0	K AH M P AH L SH AH N
COMPULSORY	1.0	K AH M P AH L S ER IY
COMPUNCTION	1.0	K AH M P AH NG K SH AH N
COMPUNCTIONS	1.0	K AA M P AH NG K T IY AH N Z
COMPUNCTIOUS	1.0	K AA M P AH NG K AH S
COMPUTATIONS	1.0	K AA M P Y UW T EY SH AH N Z
COMPUTE	1.0	K AH M P Y UW T
COMPUTED	1.0	K AH M P Y UW T AH D
COMPUTED(2)	1.0	K AH M P Y UW T IH D
COMRADE	1.0	K AA M R AE D
COMRADE'S	1.0	K AA M R AE D Z
COMRADES	1.0	K AA M R AE D Z
COMRADESHIP	1.0	K AA M R AE D SH IH P
COMSTOCK	1.0	K AA M S T AA K
COMTE	1.0	K AA M T IY
COMUS	1.0	K OW M AH S
CONALL	1.0	K AH N AO L
CONCATENATION	1.0	K AH N K AE T AH N EY SH AH N
CONCEAL	1.0	K AH N S IY L
CONCEALED	1.0	K AH N S IY L D
CONCEALING	1.0	K AH N S IY L IH NG
CONCEALMENT	1.0	K AH N S IY L M AH N T
CONCEALMENTS	1.0	K AH N S IY L M AH N T S
CONCEALS	1.0	K AH N S IY L Z
CONCEDED	1.0	K AH N S IY D IH D
CONCEDES	1.0	K AH N S IY D Z
CONCEDING	1.0	K AH N S IY D IH NG
CONCEIT	1.0	K AH N S IY T
CONCEITED	1.0	K AH N S IY T AH D
CONCEITEDLY	1.0	K AH N S IY T AH D L IY
CONCEIVABLE	1.0	K AH N S IY V AH B AH L
CONCEIVABLY	1.0	K AH N S IY V AH B L IY
CONCEIVE	1.0	K AH N S IY V
CONCEIVED	1.0	K AH N S IY V D
CONCEIVING	1.0	K AH N S IY V IH NG
CONCENTRATE	1.0	K AA N S AH N T R EY T
CONCENTRATED	1.0	K AA N S AH N T R EY T AH D
CONCENTRATED(2)	1.0	K AO N S AH N T R EY T IH D
CONCENTRATING	1.0	K AA N S AH N T R EY T IH NG
CONCENTRATION	1.0	K AA N S AH N T R EY SH AH N
CONCENTRIC	1.0	K AH N S EH N T R IH K
CONCEPT	1.0	K AA N S EH P T
CONCEPTION	1.0	K AH N S EH P SH AH N
CONCEPTIONS	1.0	K AH N S EH P SH AH N Z
CONCERN	1.0	K AH N S ER N
CONCERNED	1.0	K AH N S ER N D
CONCERNING	1.0	K AH N S ER N IH NG
CONCERNS	1.0	K AH N S ER N Z
CONCERT	1.0	K AA N S ER T
CONCERT(2)	1.0	K AH N S ER T
CONCERTED	1.0	K AH N S ER T AH D
CONCERTED(2)	1.0	K AH N S ER T IH D
CONCERTS	1.0	K AA N S ER T S
CONCERTS(2)	1.0	K AH N S ER T S
CONCESSION	1.0	K AH N S EH SH AH N
CONCESSIONS	1.0	K AH N S EH SH AH N Z
CONCIERGE	1.0	K AA N S IY EH R ZH
CONCIERGE'S	1.0	K AA N S IY EH R ZH IX Z
CONCIERGERIE	1.0	K OW N S Y EH R ZH ER IY
CONCILIATE	1.0	K AH N S IH L IY EY T
CONCILIATING	1.0	K AH N S IH L IY EY T IH NG
CONCILIATION	1.0	K AH N S IH L IY EY SH AH N
CONCILIATORY	1.0	K AH N S IH L IY AH T AO R IY
CONCILIATORY(2)	1.0	K AH N S IH L Y AH T AO R IY
CONCISELY	1.0	K AH N S AY S L IY
CONCLAVES	1.0	K AA N K L EY V Z
CONCLUDE	1.0	K AH N K L UW D
CONCLUDED	1.0	K AH N K L UW D AH D
CONCLUDED(2)	1.0	K AH N K L UW D IH D
CONCLUDES	1.0	K AH N K L UW D Z
CONCLUDING	1.0	K AH N K L UW D IH NG
CONCLUSION	1.0	K AH N K L UW ZH AH N
CONCLUSIONS	1.0	K AH N K L UW ZH AH N Z
CONCLUSIVE	1.0	K AH N K L UW S IH V
CONCLUSIVELY	1.0	K AH N K L UW S IH V L IY
CONCOCTION	1.0	K AH N K AA K SH AH N
CONCOMITANTS	1.0	K AH N K OW M AY T AH N T S
CONCORD	1.0	K AA N K AO R D
CONCORD(2)	1.0	K AA N K ER D
CONCORDANT	1.0	K AH N K AO R D AH N T
CONCOURSE	1.0	K AA N K AO R S
CONCRETE	1.0	K AH N K R IY T
CONCRETE(2)	1.0	K AA N K R IY T
CONCUBINE	1.0	K AA N K Y AH B AY N
CONCUR	1.0	K AH N K ER
CONCURRED	1.0	K AH N K ER D
CONCURRENCE	1.0	K AH N K ER AH N S
CONCURRENT	1.0	K AH N K ER AH N T
CONCUSSION	1.0	K AH N K AH SH AH N
CONCUSSIONS	1.0	K AH N K AH SH AH N Z
CONDE	1.0	K AA N D
CONDEMN	1.0	K AH N D EH M
CONDEMNABLE	1.0	K AH N D EH M AH B AH L
CONDEMNATION	1.0	K AA N D AH M N EY SH AH N
CONDEMNED	1.0	K AH N D EH M D
CONDEMNING	1.0	K AH N D EH M IH NG
CONDEMNS	1.0	K AH N D EH M Z
CONDENSATION	1.0	K AA N D AH N S EY SH AH N
CONDENSED	1.0	K AH N D EH N S T
CONDESCEND	1.0	K AA N D IH S EH N D
CONDESCENDED	1.0	K AA N D IH S EH N D IH D
CONDESCENSION	1.0	K AA N D AH S EH N SH AH N
CONDESCENSIONS	1.0	K AA N D IH S EH N CH AH N Z
CONDIMENTS	1.0	K AA N D AH M AH N T S
CONDITION	1.0	K AH N D IH SH AH N
CONDITIONALLY	1.0	K AH N D IH SH AH N AH L IY
CONDITIONALLY(2)	1.0	K AH N D IH SH N AH L IY
CONDITIONED	1.0	K AH N D IH SH AH N D
CONDITIONS	1.0	K AH N D IH SH AH N Z
CONDOLE	1.0	K AH N D OW L
CONDOLED	1.0	K AH N D OW L D
CONDOLENCE	1.0	K AH N D OW L AH N S
CONDORCET	1.0	K AA N D AO R S AH T
CONDOTTIERE	1.0	K AA N D AA T IY R
CONDUCE	1.0	K AH N D UW S
CONDUCT	1.0	K AA N D AH K T
CONDUCTED	1.0	K AH N D AH K T AH D
CONDUCTING	1.0	K AH N D AH K T IH NG
CONDUCTOR	1.0	K AH N D AH K T ER
CONDUCTORS	1.0	K AH N D AH K T ER Z
CONDUCTS	1.0	K AH N D AH K T S
CONE	1.0	K OW N
CONES	1.0	K OW N Z
CONEY	1.0	K OW N IY
CONFAB	1.0	K AA N F AE B
CONFECTIONERS	1.0	K AH N F EH K SH AH N ER Z
CONFEDERACIES	1.0	K AH N F EH D ER AH S IY Z
CONFEDERACY	1.0	K AH N F EH D ER AH S IY
CONFEDERACY(2)	1.0	K AH N F EH D R AH S IY
CONFEDERATE	1.0	K AH N F EH D ER AH T
CONFEDERATE(2)	1.0	K AH N F EH D ER EY T
CONFEDERATES	1.0	K AH N F EH D ER AH T S
CONFER	1.0	K AH N F ER
CONFEREES	1.0	K AA N F ER IY Z
CONFERENCE	1.0	K AA N F ER AH N S
CONFERENCE(2)	1.0	K AA N F R AH N S
CONFERENCES	1.0	K AA N F ER AH N S AH Z
CONFERENCES(2)	1.0	K AA N F R AH N S AH Z
CONFERRED	1.0	K AH N F ER D
CONFERRING	1.0	K AH N F ER IH NG
CONFESS	1.0	K AH N F EH S
CONFESSED	1.0	K AH N F EH S T
CONFESSES	1.0	K AH N F EH S IH Z
CONFESSION	1.0	K AH N F EH SH AH N
CONFESSIONS	1.0	K AH N F EH SH AH N Z
CONFESSOR	1.0	K AH N F EH S ER
CONFESSORS	1.0	K AH N F EH S ER Z
CONFETTI	1.0	K AH N F EH T IY
CONFIDANT	1.0	K AA N F AH D AA N T
CONFIDANTE	1.0	K AA N F AH D AE N T
CONFIDE	1.0	K AH N F AY D
CONFIDED	1.0	K AH N F AY D IH D
CONFIDENCE	1.0	K AA N F AH D EH N S
CONFIDENCES	1.0	K AA N F AH D EH N S IH Z
CONFIDENT	1.0	K AA N F AH D AH N T
CONFIDENTIAL	1.0	K AA N F AH D EH N SH AH L
CONFIDENTIALLY	1.0	K AA N F AH D EH N SH AH L IY
CONFIDENTLY	1.0	K AA N F AH D AH N T L IY
CONFIDING	1.0	K AH N F AY D IH NG
CONFIDINGLY	1.0	K AH N F AY D IH NG L IY
CONFINE	1.0	K AH N F AY N
CONFINED	1.0	K AH N F AY N D
CONFINEMENT	1.0	K AH N F AY N M AH N T
CONFINES	1.0	K AA N F AY N Z
CONFINES(2)	1.0	K AH N F AY N Z
CONFINING	1.0	K AH N F AY N IH NG
CONFIRM	1.0	K AH N F ER M
CONFIRMATION	1.0	K AA N F ER M EY SH AH N
CONFIRMED	1.0	K AH N F ER M D
CONFISCATED	1.0	K AA N F AH S K EY T AH D
CONFISCATION	1.0	K AA N F AH S K EY SH AH N
CONFLAGRATION	1.0	K AA N F L AH G R EY SH AH N
CONFLICT	1.0	K AA N F L IH K T
CONFLICT(2)	1.0	K AH N F L IH K T
CONFLICTING	1.0	K AH N F L IH K T IH NG
CONFLICTS	1.0	K AH N F L IH K T S
CONFLICTS(2)	1.0	K AA N F L IH K T S
CONFLICTS(3)	1.0	K AH N F L IH K S
CONFLICTS(4)	1.0	K AA N F L IH K S
CONFLUENCE	1.0	K AA N F L UW AH N S
CONFLUENT	1.0	K AA N F L UW AH N T
CONFLUX	1.0	K AH N F L AH K S
CONFORM	1.0	K AH N F AO R M
CONFORMABLY	1.0	K AH N F AO R M AH B L IY
CONFORMANCE	1.0	K AH N F AO R M AH N S
CONFORMATION	1.0	K AA N F AO R M EY SH AH N
CONFORMING	1.0	K AH N F AO R M IH NG
CONFORMITY	1.0	K AH N F AO R M AH T IY
CONFOUND	1.0	K AA N F AW N D
CONFOUND(2)	1.0	K AH N F AW N D
CONFOUNDED	1.0	K AH N F AW N D IH D
CONFOUNDEDLY	1.0	K AH N F AW N D AH D L IY
CONFOUNDING	1.0	K AH N F AW N D IH NG
CONFRERES	1.0	K AA N F R EH R Z
CONFRONT	1.0	K AH N F R AH N T
CONFRONTATION	1.0	K AA N F R AH N T EY SH AH N
CONFRONTED	1.0	K AH N F R AH N T AH D
CONFRONTED(2)	1.0	K AH N F R AH N T IH D
CONFRONTS	1.0	K AH N F R AH N T S
CONFUSE	1.0	K AH N F Y UW Z
CONFUSED	1.0	K AH N F Y UW Z D
CONFUSEDLY	1.0	K AH N F Y UW Z AH D L IY
CONFUSING	1.0	K AH N F Y UW Z IH NG
CONFUSION	1.0	K AH N F Y UW ZH AH N
CONFUTED	1.0	K AH N F Y UW T IH D
CONGAL	1.0	K AH N G AE L
CONGEALED	1.0	K AH N JH IY L D
CONGEALING	1.0	K AH N JH IY L IH NG
CONGENIAL	1.0	K AH N JH IY N Y AH L
CONGESTED	1.0	K AH N JH EH S T AH D
CONGESTED(2)	1.0	K AH N JH EH S T IH D
CONGESTION	1.0	K AH N JH EH S CH AH N
CONGLOMERATION	1.0	K AH N G L AA M ER EY SH AH N
CONGO	1.0	K AA NG G OW
CONGRATULATE	1.0	K AH N G R AE CH AH L EY T
CONGRATULATED	1.0	K AH N G R AE CH AH L EY T IH D
CONGRATULATING	1.0	K AH N G R AE CH AH L EY T IH NG
CONGRATULATION	1.0	K AH N G R AE CH AH L EY SH AH N
CONGRATULATIONS	1.0	K AH N G R AE CH AH L EY SH AH N Z
CONGREGATED	1.0	K AA NG G R IH G EY T IH D
CONGREGATION	1.0	K AA NG G R AH G EY SH AH N
CONGREGATIONAL	1.0	K AA NG G R AH G EY SH AH N AH L
CONGREGATIONS	1.0	K AA NG G R AH G EY SH AH N Z
CONGRESS	1.0	K AA NG G R AH S
CONGRESSIONAL	1.0	K AH N G R EH SH AH N AH L
CONGRESSMAN	1.0	K AA NG G R AH S M AH N
CONGRESSMEN	1.0	K AA NG G R AH S M IH N
CONICAL	1.0	K AA N IH K AH L
CONICAL(2)	1.0	K OW N IH K AH L
CONIFERS	1.0	K AA N AH F ER Z
CONISTON	1.0	K AA N AH S T AH N
CONISTON'S	1.0	K AA N AH S T AH N Z
CONJECTURE	1.0	K AH N JH EH K CH ER
CONJECTURE(2)	1.0	K AH N JH EH K SH ER
CONJECTURED	1.0	K AH N JH EH K CH ER D
CONJECTURES	1.0	K AH N JH EH K CH ER Z
CONJECTURES(2)	1.0	K AH N JH EH K SH ER Z
CONJECTURING	1.0	K AH N JH EH K CH ER IH NG
CONJUGAL	1.0	K AA N JH AH G AH L
CONJUGALLY	1.0	K AA N JH IH G AH L IY
CONJUNCTION	1.0	K AH N JH AH NG K SH AH N
CONJUNCTURE	1.0	K AH N JH AH NG K CH ER
CONJURE	1.0	K AA N JH ER
CONJURED	1.0	K AA N JH ER D
CONJURER	1.0	K AH N JH UH R ER
CONJURING	1.0	K AA N JH ER IH NG
CONJUROR	1.0	K AA N JH ER ER
CONNECT	1.0	K AH N EH K T
CONNECTED	1.0	K AH N EH K T IH D
CONNECTICUT	1.0	K AH N EH T AH K AH T
CONNECTING	1.0	K AH N EH K T IH NG
CONNECTION	1.0	K AH N EH K SH AH N
CONNECTIONS	1.0	K AH N EH K SH AH N Z
CONNECTS	1.0	K AH N EH K T S
CONNED	1.0	K AA N D
CONNEXION	1.0	K AH N EH K SH AH N
CONNEXIONS	1.0	K AH N EH K SH AH N Z
CONNISTON	1.0	K AA N IH S T AO N
CONNISTON'S	1.0	K AA N IH S T AO N Z
CONNIVANCE	1.0	K AH N AY V AH N S
CONNIVED	1.0	K AH N AY V D
CONNOISSEUR	1.0	K AA N AH S ER
CONNOR	1.0	K AA N ER
CONNOTATES	1.0	K AH N OW T AH T S
CONNOTE	1.0	K AH N OW T
CONNOTES	1.0	K AH N OW T S
CONNOTING	1.0	K AH N OW T IH NG
CONNY	1.0	K AA N IY
CONQUER	1.0	K AA NG K ER
CONQUER'D	1.0	K AA NG K ER D
CONQUERED	1.0	K AA NG K ER D
CONQUERING	1.0	K AA NG K ER IH NG
CONQUEROR	1.0	K AA NG K ER ER
CONQUERORS	1.0	K AA NG K ER ER Z
